customer_id,last_purchase_date,monetary,frequency,avg_transaction_value,recency,r_score,f_score,m_score,rfm_score_str,rfm_score,rfm_segment,avg_order_value,monetary_rank,frequency_rank,recency_rank,value_tier,avg_days_between_purchases,purchase_consistency,days_since_first_purchase,purchase_span_days,unique_products_bought,unique_categories_bought,preferred_category,category_concentration,product_diversity_level,transaction_value_std,min_transaction_value,max_transaction_value,total_spending,transaction_count,spending_volatility,spending_trend,trend_direction,engagement_score,loyalty_indicator,preferred_day_of_week,weekend_purchase_ratio,weekend_spending_ratio,q1.0_count,q2.0_count,q3.0_count,q4.0_count,seasonal_variation,preferred_quarter,first_purchase_date,total_transactions,customer_tenure_days,recency_days,active_period_days,purchase_velocity,lifecycle_stage,expected_days_to_purchase,days_overdue,churn_risk
4551,2024-03-01,221356500.0,7,31622357.14285714,305,3,4,5,345,4.15,Loyal Customers,31622357.14,80.22,66.03,40.42,Platinum,,1.0,,,5,,,,Medium,43297845.1587704,6488000.0,129000000.0,221356500.0,7,1.369,-0.691,Declining,81.09,High,Friday,0.0,0.0,4.0,0.0,0.0,0.0,1.732,1.0,2024-03-01,4.0,650.0,650.0,0.0,0.185,Veteran,0.0,650.0,Churned
4600,2024-07-08,6839109.119811321,4,1709777.2799528302,176,3,3,2,332,2.6,Need Attention,1709777.28,22.97,50.86,48.03,Bronze,,,,,4,,,,Medium,1374699.0164142253,450451.0,3579000.0,6839109.119811321,4,0.804,2.864,Growing,26.05,Medium,Monday,0.25,0.14,0.0,1.0,1.0,0.0,1.0,2.0,2024-06-02,2.0,557.0,521.0,36.0,0.108,Veteran,36.0,485.0,Churned
4601,,240809.0,1,240809.0,719,2,1,1,211,1.25,About To Sleep,240809.0,0.86,9.58,18.12,Bronze,,,,0.0,1,,,,Low,0.0,240809.0,240809.0,240809.0,1,0.0,0.0,Stable,3.68,Low,,,,,,,,,,,,,,,,,,,
4602,2025-09-12,983414272.1428571,50,19668285.442857143,-255,5,5,5,555,5.0,Champions,19668285.44,92.38,94.04,81.63,Platinum,,1.0,90.0,,20,,,,High,33619624.3228275,0.0,181002000.0,983414272.1428571,50,1.709,0.455,Growing,94.5,High,Friday,0.0,0.0,0.0,0.0,7.0,0.0,1.732,3.0,2025-09-12,7.0,90.0,90.0,0.0,2.333,Developing,0.0,90.0,Churned
4650,2025-04-08,112173000.0,16,7010812.5,-98,4,5,4,454,4.35,Champions,7010812.5,71.13,82.56,63.88,Gold,,1.0,,,12,,,,High,7098702.878871604,170000.0,20860000.0,112173000.0,16,1.013,-0.5,Declining,83.99,High,Tuesday,0.062,0.047,1.0,3.0,0.0,0.0,1.225,2.0,2024-03-01,4.0,650.0,247.0,403.0,0.185,Veteran,134.33333333333334,112.66666666666666,Churned
4651,2024-06-02,32007928.0,3,10669309.333333334,212,3,2,3,323,2.65,Promising,10669309.33,49.63,41.77,45.09,Silver,16.0,0.0,589.0,32.0,3,,,,Low,8960244.344383769,3400000.0,20680000.0,32007928.0,3,0.84,0.519,Growing,33.93,Medium,Sunday,0.667,0.752,0.0,3.0,0.0,0.0,1.732,2.0,2024-05-01,3.0,589.0,557.0,32.0,0.153,Veteran,16.0,541.0,Churned
4700,2024-04-01,2053000.0,2,1026500.0,274,3,2,1,321,1.85,Promising,1026500.0,10.07,27.7,41.4,Bronze,0.0,1.0,619.0,0.0,2,,,,Low,1093894.190495589,253000.0,1800000.0,2053000.0,2,1.066,-0.859,Declining,43.61,Medium,Monday,0.0,0.0,0.0,2.0,0.0,0.0,1.732,2.0,2024-04-01,2.0,619.0,619.0,0.0,0.097,Veteran,0.0,619.0,Churned
4701,2024-05-01,980000.0,1,980000.0,244,3,1,1,311,1.5,Promising,980000.0,4.3,9.58,43.12,Bronze,,,589.0,0.0,1,,,,Low,0.0,980000.0,980000.0,980000.0,1,0.0,0.0,Stable,5.06,Low,Wednesday,0.0,0.0,0.0,1.0,0.0,0.0,1.732,2.0,2024-05-01,1.0,589.0,589.0,0.0,0.051,Veteran,365.0,224.0,Churned
4750,2025-10-06,41917567.6,8,5239695.95,-279,5,4,3,543,3.85,Loyal Customers,5239695.95,53.69,68.61,83.42,Gold,,,,,8,,,,Medium,5580378.810326129,320000.0,16500000.0,41917567.6,8,1.065,1.754,Growing,44.03,Medium,Monday,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2024-05-01,2.0,589.0,66.0,523.0,0.102,Veteran,523.0,-457.0,Active
4800,2025-02-10,1742127812.75,23,75744687.51086956,-41,3,5,5,355,4.5,Loyal Customers,75744687.51,95.33,87.71,58.11,Platinum,,0.0,,,22,,,,High,114529853.44861272,0.0,394250000.0,1742127812.75,23,1.512,-0.929,Declining,66.01,Medium,Monday,0.043,0.226,1.0,0.0,0.0,4.0,1.311,4.0,2024-11-11,5.0,395.0,304.0,91.0,0.38,Veteran,22.75,281.25,Churned
