cluster_id,cluster_label,customer_count,customer_pct,recency_mean,recency_std,recency_min,recency_max,frequency_mean,frequency_std,frequency_min,frequency_max,monetary_mean,monetary_std,monetary_min,monetary_max,avg_transaction_value_mean,avg_transaction_value_std,avg_transaction_value_min,avg_transaction_value_max,purchase_consistency_mean,purchase_consistency_std,purchase_consistency_min,purchase_consistency_max
0,Medium Value,457,56.14250614250614,-132.9168490153173,180.0696188482521,-345,363,20.210065645514224,43.94733275587189,1,685,454688010.4142889,1101248507.298193,280000.0,10237643546.37,25148845.2370269,56481985.409704566,249392.0,576390856.8,0.4466105032822757,0.4309703674369473,0.0,1.0
1,Low Value,354,43.48894348894349,653.6412429378531,156.83098784187783,142,719,3.4604519774011298,4.554966883291865,1,67,68211509.62441707,191753152.0158665,120000.0,1957796495.96,17418933.575216595,38856597.3068836,60000.0,360000000.0,0.30281920903954807,0.11901617988629408,0.0,1.0
2,High Value,3,0.36855036855036855,197.33333333333334,451.7835027237419,-66,719,9.0,10.44030650891055,2,21,13916125663.333334,9444917767.301636,7479538890.0,24759000000.0,2601267924.1666665,1896836920.7178469,1179000000.0,4754919050.0,0.4323333333333333,0.5135526587735023,0.0,1.0
